번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
2004,6급,조짐,명사,조짐을 보이다
2005,6급,조치,명사,조치를 취하다
2006,6급,조형미,명사,조형미가 돋보이다
2007,6급,조화롭다,형용사,조화로운 삶
2008,6급,-족,접사,조선족
2009,6급,족하다,형용사,그걸로 족하다
2010,6급,존엄성,명사,인간의 존엄성
2011,6급,졸지00,명사,졸지에 공개되다
2012,6급,종결,명사,수사의 종결
2013,6급,종사00,명사,전문직 종사
2014,6급,종사자,명사,산업 종사자
2015,6급,종전01,명사,종전의 방식
2064,6급,지배적01∙ 지배적02,관형사∙ 명사,지배적 견해
2017,6급,좌뇌00,명사,좌뇌와 우뇌
2018,6급,좌담회,명사,좌담회를 열다
2019,6급,좌파,명사,좌파와 우파
2020,6급,죄송스럽다,형용사,죄송스러운 마음
2021,6급,죄인,명사,죄인을 처벌하다
2022,6급,주권,명사,나라의 주권
2023,6급,주력,명사,주력 상품
2024,6급,주범,명사,사건의 주범
2025,6급,주생활,명사,주생활을 개선하다
2026,6급,주선,명사,주선으로 만나다
2027,6급,주역,명사,승리의 주역
2028,6급,주전,명사,주전 선수
2029,6급,주체02,명사,행동의 주체
2030,6급,주최,명사,주최로 열리다
2031,6급,준수,명사,신호 준수
2032,6급,중공업,명사,중공업이 발전하다
2033,6급,중대02,명사,중대 발표
2034,6급,중도01,명사,중도에 탈락하다
2035,6급,중력,명사,지구의 중력
2036,6급,중립,명사,중립을 지키다
2037,6급,중병00,명사,중병에 걸리다
2038,6급,중산층,명사,중산층 가정
2039,6급,중소,명사,중소 도시
2040,6급,중점,명사,중점을 두다
2068,6급,지적01∙지적02,관형사∙ 명사,지적 호기심
2042,6급,중증,명사,중증 환자
2043,6급,즐비하다,형용사,건물이 즐비하다
2044,6급,즙,명사,즙을 마시다
2045,6급,증가세,명사,증가세를 보이다
2046,6급,증대,명사,소득 증대
2047,6급,증발,명사,수분의 증발
2048,6급,증원,명사,신입생 증원
2049,6급,증정,명사,선물 증정
2050,6급,증진,명사,식욕 증진
2051,6급,증후군,명사,명절 증후군
2052,6급,지구력,명사,지구력을 기르다
2053,6급,지그시,부사,지그시 누르다
2054,6급,지극하다,형용사,지극한 정성
2055,6급,지껄이다,동사,지껄이는 소리
2056,6급,지대,명사,산간 지대
2057,6급,지독하다,형용사,냄새가 지독하다
2058,6급,지름,명사,원의 지름
2081,6급,진보적01∙ 진보적02,관형사∙ 명사,진보적 인사
2060,6급,지망,명사,지망 학과
2061,6급,지문01,명사,교과서의 지문
2062,6급,지문02,명사,지문을 채취하다
2063,6급,지배,명사,식민지 지배
2088,6급,진취적01∙ 진취적02,관형사∙ 명사,진취적 사고
2065,6급,지성02,명사,지성이 뛰어나다
2066,6급,지원금,명사,지원금을 받다
2067,6급,지인,명사,지인을 만나다
2140,6급,천부적01∙ 천부적02,관형사∙ 명사,천부적인 재능
2069,6급,지지율,명사,지지율이 높다
2070,6급,지침,명사,행동 지침
2071,6급,지향01,명사,미래 지향
2072,6급,지휘,명사,작전 지휘
2073,6급,직거래,명사,농산물 직거래
2074,6급,직관,명사,직관으로 판단하다
2075,6급,직면00,명사,현실에 직면하다
2076,6급,직무,명사,직무를 수행하다
2077,6급,직사각형,명사,직사각형 모양
2078,6급,직속,명사,직속 후배
2079,6급,-진,접사,취재진
2080,6급,진보,명사,진보와 퇴보
2158,6급,초월적00,관형사∙ 명사,초월적인 존재
2082,6급,진상01,명사,사건의 진상
2083,6급,진열,명사,진열 상품
2084,6급,진작01,부사,진작 말하다
2085,6급,진전,명사,진전이 없다
